slug,name,purpose,repo_url,docs_url,demo_url,framework,tags,created
api-test-generator,API Test Generator,"OpenAPI 3.x spec in, executable Postman collection out — pairwise parameter coverage, runs via Newman.",https://github.com/senthilsweb/ai-agents/tree/main/agents/api-test-generator,,,eve,"AI,Testing,OpenAPI",2026-06-28T12:59:14Z
diagram-generator,Diagram Generator,"Plain-language description or sketch in, self-contained HTML architecture diagram out.",https://github.com/senthilsweb/ai-agents/tree/main/agents/diagram-generator,,,eve,"AI,Diagrams",2026-06-21T11:48:10Z
github-pr-digest,GitHub PR Digest,Small multi-agent example: PR activity report across repos for a date range.,https://github.com/senthilsweb/ai-agents/tree/main/agents/github-pr-digest,,,eve,"AI,GitHub",2026-06-22T01:25:44Z
job-matcher,Job Matcher,"Resume vs job postings, scored evidence-grounded JSON — governed rebuild of talent-align.",https://github.com/senthilsweb/ai-agents/tree/main/agents/job-matcher,,,eve,"AI,Career",2026-07-10T02:35:14Z
job-pilot,Job Pilot,"Daily email of new matching jobs, reads Job Scout's public parquet snapshot.",https://github.com/senthilsweb/ai-agents/tree/main/agents/job-pilot,https://www.senthilsweb.com/ai-agents/job-pilot/,,python,"Automation,Career",2026-07-15T23:33:20Z
job-scout,Job Scout,"Tracks ~95 companies' job postings with marimo + DuckDB, publishes a public parquet and a daily hiring-trends dashboard.",https://github.com/senthilsweb/ai-agents/tree/main/agents/job-scout,https://www.senthilsweb.com/ai-agents/job-scout/,https://www.senthilsweb.com/ai-agents/trends/,python,"Data,DuckDB,Career",2026-07-03T14:27:55Z
langgraph-hello,LangGraph Hello,"Tiny LangGraph StateGraph demo — no LLM, no network, no API key.",https://github.com/senthilsweb/ai-agents/tree/main/agents/langgraph-hello,,,langgraph,"AI,Education",2026-07-24T13:54:02Z
linkedin-cover-generator,LinkedIn Cover Generator,"Article in, editorial LinkedIn cover image out — one reasoning pass plus one image generation.",https://github.com/senthilsweb/ai-agents/tree/main/agents/linkedin-cover-generator,,,eve,"AI,Design",2026-06-21T12:54:04Z
privacy-classifier,Privacy Classifier,Classifies PII/NPI and applicable compliance regimes in a document.,https://github.com/senthilsweb/ai-agents/tree/main/agents/privacy-classifier,,,eve,"AI,Privacy",2026-07-08T12:26:04Z
talk-value-stats,Talk Value Stats,"Extracts ROI numbers spoken in AI talks — attributed, timestamp-linked, published as a queryable site + parquet.",https://github.com/senthilsweb/ai-agents/tree/main/agents/talk-value-stats,,https://www.senthilsweb.com/ai-agents/ai-native-numbers/,python,"Data,Research",2026-07-24T19:52:15Z
youtube-transcriber,YouTube Transcriber,Local end-to-end audio transcription of YouTube videos.,https://github.com/senthilsweb/ai-agents/tree/main/agents/youtube-transcriber,,,python,"Automation,Media",2026-07-23T15:35:15Z
claimwise-revenue-copilot,Claimwise Revenue Copilot,"Multi-agent copilot over the ClaimWise dbt gold layer: a supervisor routes each revenue question to one of four bounded-context specialists — revenue analyst, claims investigator, denials & AR advisor, data steward.",https://github.com/senthilsweb/claimwise-agents,https://www.senthilsweb.com/claimwise-agents/,,strands,"AI,Healthcare,Multi-Agent",2026-07-29T18:24:10Z
