slug,name,repo_url,description,usecase,size,tags,language,started,last_active,stars,demo_url
templrgo,TemplrGo,https://github.com/senthilsweb/templrgo,"Lightweight developer platform with Lua serverless functions, SQL playgrounds, embedded BoltDB storage, and AI chat assistant. Config-driven, single-binary deployment.","Personal website engine and developer platform — powers markdown CMS, JSON Resume rendering, docs, and release reports from one Go binary with an embedded Next.js frontend.",large,"OSS,Go,Platform,CMS",Go,2026-04-03,2026-07-20,0,https://templrgo.nathansweb.com/
templrjs,TemplrJS,https://github.com/senthilsweb/templrjs,"Full-stack web framework built on NuxtJS, TailwindCSS, Supabase designed for edge computing.",Build personal projects to startups on one stack — the previous generation of the Templr family and long-running foundation of senthilsweb.com.,large,"OSS,Vue,Nuxt,Framework",Vue,2023-04-23,2025-01-02,0,
ai-agents,AI Agents Monorepo,https://github.com/senthilsweb/ai-agents,"Monorepo of Vercel Eve agents (API test generator, diagram generator, GitHub PR digest, LinkedIn cover generator) sharing a common runtime kit, plus the AI SDET Workbench slide deck.",A fleet of production AI agents with a shared runtime kit — the workbench for AI-native software engineering experiments.,large,"OSS,AI,Agents,TypeScript",TypeScript,2026-06-20,2026-07-25,1,https://senthilsweb.github.io/ai-agents/ai-native-numbers/
learn-pentaho-with-senthil,Learn Pentaho with Senthil,https://github.com/senthilsweb/learn-pentaho-with-senthil,"Monorepo for learning and exploring Pentaho: ETL processes, data lake management, reporting, and visualization.",Hands-on Pentaho tutorials and examples for data engineering and analytics in real-world scenarios.,large,"OSS,Pentaho,Data-Engineering,Tutorials",Dockerfile,2024-09-29,2024-10-14,0,
dagster-data-pipeline,Dagster Data Pipelines,https://github.com/senthilsweb/dagster-data-pipeline,Collection of data engineering projects using Dagster to manage and orchestrate data pipelines.,"Reference implementations of reliable, observable data pipelines orchestrated with Dagster.",large,"OSS,Python,Dagster,Data-Engineering",Python,2023-08-16,2026-05-06,1,
templrpress,TemplrPress,https://github.com/senthilsweb/templrpress,"Product website, docs, blog, and OpenAPI explorer in one ~15 MB Go binary — markdown in, website out. No Node, no database, no build step.",Ship a complete product site from markdown with a single binary — zero build toolchain.,medium,"OSS,Go,CMS,Docs",TypeScript,2026-05-31,2026-07-20,0,https://templrpress.nathansweb.com/
duckdb-data-api,DuckDB Data Proxy,https://github.com/senthilsweb/duckdb-data-api,Data API and micro ORM for DuckDB and MotherDuck.,"Instant REST APIs over parquet, CSV, and lakehouse data using DuckDB as the engine.",medium,"OSS,DuckDB,Python,API",Python,2024-03-14,2024-12-27,12,
claimwise,ClaimWise,https://github.com/senthilsweb/claimwise,Healthcare RCM synthetic data generator and data lakehouse demo monorepo — inspired by dbt's jaffle_shop.,"Realistic healthcare revenue-cycle datasets for lakehouse demos, analytics practice, and teaching.",large,"OSS,Healthcare,Data-Engineering,dbt",HTML,2026-07-02,2026-07-20,1,
agent-job-matcher,Agent Job Matcher,https://github.com/senthilsweb/agent-job-matcher,"AI agent (Pydantic AI) + Next.js frontend that matches resumes to job postings, with OpenObserve/Arize observability — built using the AI-DLC methodology.","End-to-end example of spec-driven AI-DLC development: agent, frontend, and observability.",medium,"OSS,AI,Agents,Python",HTML,2026-07-11,2026-07-20,0,
privacyshield-web,Privacy Shield Web,https://github.com/senthilsweb/privacyshield-web,"Next.js web utility implementing a Privacy Shield workflow to protect PII during text processing with LLMs: detection, anonymization, and de-anonymization.",Web frontend for the Privacy Shield PII workflow; previously also served as senthilsweb.com.,medium,"OSS,Privacy,Next.js,LLM",TypeScript,2025-01-01,2026-05-09,0,https://www.senthilsweb.com/data-pipeline-visulalizer
zypress,Zypress,https://github.com/senthilsweb/zypress,"Vue.js Jamstack framework created with NuxtJS + Tailwindcss + @nuxt/content, preloaded with personal website and documentation starter kits.",Rapidly build blog and documentation websites — an earlier generation of the Templr lineage.,medium,"OSS,Vue,Nuxt,Jamstack",Vue,2021-06-20,2021-11-07,0,
