urn_id,urn_kind,post_url,published_at,impressions,engagements,topic_slug,matched_kind,matched_id,matched_title,snapshot_date
7482989113772605440,ugcPost,https://www.linkedin.com/posts/senthilsweb_previously-i-mentioned-that-job-hunting-ugcPost-7482989113772605440-96gL,2026-07-15T02:47:11.938Z,4301,10,previously-i-mentioned-that-job-hunting,article,7482974143156670464,I Left My Job Hunt Running — Now It's a Public Dataset Anyone Can Query,2026-07-27
7482087291604217856,ugcPost,https://www.linkedin.com/posts/senthilsweb_aiengineering-aidlc-mcp-ugcPost-7482087291604217856-Zlu5,2026-07-12T15:03:40.778Z,3998,16,aiengineering-aidlc-mcp,article,7482070749864976384,"One Core, Four Doors — Shipping the Same AI Agent as CLI, REST, MCP Tool, and Chat",2026-07-27
7480085861188050944,ugcPost,https://www.linkedin.com/posts/senthilsweb_observability-opentelemetry-claudecode-ugcPost-7480085861188050944-Db_j,2026-07-07T02:30:42.582Z,3599,39,observability-opentelemetry-claudecode,article,7480080259649019905,Telemetry and Observability for Claude Code,2026-07-27
7478794249119952896,ugcPost,https://www.linkedin.com/posts/senthilsweb_adaptivedatagovops-datagovernance-agenticai-ugcPost-7478794249119952896-WDSS,2026-07-03T12:58:18.268Z,2888,45,adaptivedatagovops-datagovernance-agenticai,article,7478784167124627456,Job Hunting Is a Data Problem. I Treated It Like One.,2026-07-27
7482793259849830400,ugcPost,https://www.linkedin.com/posts/senthilsweb_aidlc-specdriven-aiengineering-ugcPost-7482793259849830400-ZDpp,2026-07-14T13:48:56.724Z,2554,3,aidlc-specdriven-aiengineering,article,7482783504313810944,"Specs, Not Vibes — Building a Production Agent with AI-DLC",2026-07-27
7484075858912169984,ugcPost,https://www.linkedin.com/posts/senthilsweb_after-over-11-years-in-data-governance-and-ugcPost-7484075858912169984-9Wct,2026-07-18T02:45:32.170Z,1722,15,after-over-11-years-in-data-governance-and,article,7484063636429193217,"Introducing Claimwise — End-to-End Data Lakehouse Storytelling with dbt, Databricks/Snowflake, and Unity Catalog, From Raw Data to Dashboard",2026-07-27
7482154990195851264,ugcPost,https://www.linkedin.com/posts/senthilsweb_homelab-hybridcloud-handsonengineering-ugcPost-7482154990195851264-Me3D,2026-07-12T19:32:41.380Z,1712,26,homelab-hybridcloud-handsonengineering,,,,2026-07-27
7412275177209839616,ugcPost,https://www.linkedin.com/posts/senthilsweb_techjourney-opensource-gratitude-ugcPost-7412275177209839616-lQO7,2025-12-31T23:35:15.660Z,1680,43,techjourney-opensource-gratitude,article,7412272364014702592,Looking Back on 25 Years in Software Development,2026-07-27
7482254661249400832,ugcPost,https://www.linkedin.com/posts/senthilsweb_are-ai-engineers-and-forward-deployed-engineers-ugcPost-7482254661249400832-p4RH,2026-07-13T02:08:44.811Z,1657,11,are-ai-engineers-and-forward-deployed-engineers,article,7482250925043036160,My View: The AI Era Is Distilling and Rewarding Elegant Engineers,2026-07-27
7484774899396427776,ugcPost,https://www.linkedin.com/posts/senthilsweb_a-single-html-file-has-replaced-a-openlineage-ugcPost-7484774899396427776-qIdG,2026-07-20T01:03:16.409Z,1395,8,a-single-html-file-has-replaced-a-openlineage,article,7484764749461692416,"OpenLineage Viewer: Databricks-Style Lineage for Local dbt, in Pure HTML",2026-07-27
7445279846903074817,ugcPost,https://www.linkedin.com/posts/senthilsweb_lua-golang-nextjs-ugcPost-7445279846903074817-_-cP,2026-04-02T01:24:02.112Z,1317,12,lua-golang-nextjs,article,7445277384599093248,Lua Is Quietly Becoming My Favorite Extension Layer,2026-07-27
7479388316547575808,ugcPost,https://www.linkedin.com/posts/senthilsweb_adaptivedatagovops-agenticai-aidlc-ugcPost-7479388316547575808-j2T9,2026-07-05T04:18:54.980Z,1288,20,adaptivedatagovops-agenticai-aidlc,article,7479375900950618112,This Cover Image Was Not Designed. It Was Orchestrated,2026-07-27
7464688203850063872,ugcPost,https://www.linkedin.com/posts/senthilsweb_qualityengineering-sdet-agenticai-ugcPost-7464688203850063872-qWeU,2026-05-25T14:45:54.998Z,1154,8,qualityengineering-sdet-agenticai,article,7464664054951845889,From Test Cases to Capabilities: A Testing Architecture for Agentic AI-Augmented Quality Engineering,2026-07-27
7246153749671329792,ugcPost,https://www.linkedin.com/posts/senthilsweb_pentaho-dataengineering-etl-ugcPost-7246153749671329792-9wGg,2024-09-29T13:48:00.948Z,1121,2,pentaho-dataengineering-etl,article,7246148122018557952,"Pentaho: Versatile Data Engineering for All Needs—ETL, Reverse ETL, ELT, Data Lakes, Big Data, Data Quality, Reporting, Visualization & Data 360",2026-07-27
7485344071994159104,ugcPost,https://www.linkedin.com/posts/senthilsweb_i-am-exploring-how-test-intelligence-ontologies-ugcPost-7485344071994159104-iU8d,2026-07-21T14:44:57.731Z,1054,6,i-am-exploring-how-test-intelligence-ontologies,article,7485321314078044160,Beyond RAG: Building Ontology-Driven Test Intelligence with Knowledge Graphs,2026-07-27
