name,registry,pull_url,description,latest_tag,pulls,last_pushed,repo_url,tags
templrgo,ghcr,ghcr.io/senthilsweb/templrgo,TemplrGo developer platform — single binary.,1.7.37,0,,https://github.com/senthilsweb/templrgo,"Go,Platform"
templrpress,ghcr,ghcr.io/senthilsweb/templrpress,TemplrPress — product site from markdown in one binary.,0.4.0,0,,https://github.com/senthilsweb/templrpress,"Go,CMS"
privacyshield-ml,ghcr,ghcr.io/senthilsweb/privacyshield-ml,Privacy Shield ML service — PII detection models.,1.3.0,0,,https://github.com/senthilsweb/privacyshield,"Privacy,ML"
privacyshield,ghcr,ghcr.io/senthilsweb/privacyshield,Privacy Shield API — Presidio + LangChain PII workflow.,latest,0,,https://github.com/senthilsweb/privacyshield,"Privacy,NLP"
agent-job-matcher,ghcr,ghcr.io/senthilsweb/agent-job-matcher,Job Matcher agent full stack.,latest,0,,https://github.com/senthilsweb/agent-job-matcher,"AI,Agents"
agent-job-matcher-agent-service,ghcr,ghcr.io/senthilsweb/agent-job-matcher-agent-service,Job Matcher — agent service.,latest,0,,https://github.com/senthilsweb/agent-job-matcher,"AI,Agents"
agent-job-matcher-openapi-docs,ghcr,ghcr.io/senthilsweb/agent-job-matcher-openapi-docs,Job Matcher — OpenAPI docs.,latest,0,,https://github.com/senthilsweb/agent-job-matcher,"AI,Docs"
agent-job-matcher-playground,ghcr,ghcr.io/senthilsweb/agent-job-matcher-playground,Job Matcher — playground UI.,latest,0,,https://github.com/senthilsweb/agent-job-matcher,"AI,UI"
minlsh,ghcr,ghcr.io/senthilsweb/minlsh,MinLSH — MinHash/LSH similarity service.,1.0.2,0,,https://github.com/senthilsweb,"Data,Similarity"
job-scout,ghcr,ghcr.io/senthilsweb/job-scout,Job Scout — ATS tracker (marimo + DuckDB).,20260720,0,,https://github.com/senthilsweb/ai-agents,"Data,Career"
job-pilot,ghcr,ghcr.io/senthilsweb/job-pilot,Job Pilot — daily job-match mailer.,latest,0,,https://github.com/senthilsweb/ai-agents,"Automation,Career"
mcp-chat-client,ghcr,ghcr.io/senthilsweb/mcp-chat-client,MCP chat client.,latest,0,,https://github.com/senthilsweb,"AI,MCP"
youtube-transcriber,ghcr,ghcr.io/senthilsweb/youtube-transcriber,YouTube Transcriber agent.,20260724,0,,https://github.com/senthilsweb/ai-agents,"Automation,Media"
langgraph-hello,ghcr,ghcr.io/senthilsweb/langgraph-hello,LangGraph hello demo.,20260724,0,,https://github.com/senthilsweb/ai-agents,"AI,Education"
zygo,dockerhub,docker.io/senthilsweb/zygo,Lightweight multipurpose Go backend API server.,latest,2853,2022-01-04,https://github.com/senthilsweb/zygo,"Legacy,Go"
zyvue,dockerhub,docker.io/senthilsweb/zyvue,JAM stack app in Nuxt/Vue + Tailwind.,latest,941,2022-01-09,https://github.com/senthilsweb/zyvue,"Legacy,Vue"
zyno-gmail-reader,dockerhub,docker.io/senthilsweb/zyno.gmail-reader,Bot that reads Gmail and processes attachments.,latest,851,2021-12-28,https://github.com/senthilsweb/zyno.gmail-reader,"Legacy,Automation"
zybots-docx,dockerhub,docker.io/senthilsweb/zybots-docx,Python microservice generating documents from DOCX templates.,latest,854,2022-12-14,https://github.com/senthilsweb/zybots,"Legacy,Python"
templrjs,dockerhub,docker.io/senthilsweb/templrjs,TemplrJS full-stack edge framework.,latest,765,2023-08-29,https://github.com/senthilsweb/templrjs,"Legacy,Framework"
krakend,dockerhub,docker.io/senthilsweb/krakend,KrakenD API gateway build.,latest,521,2021-11-27,https://github.com/senthilsweb/krakend,"Legacy,Gateway"
gotrue,dockerhub,docker.io/senthilsweb/gotrue,Supabase GoTrue JWT auth server build.,latest,479,2021-11-15,https://github.com/senthilsweb/gotrue,"Legacy,Auth"
notifier,dockerhub,docker.io/senthilsweb/notifier,Multipurpose notification library (mail/text/Slack/push/Telegram).,latest,453,2021-11-05,https://github.com/senthilsweb/notifier,"Legacy,Go"
cheers2019,dockerhub,docker.io/senthilsweb/cheers2019,Docker birthday demo.,latest,47,2019-07-24,https://github.com/senthilsweb,"Legacy,Demo"
