title,linkedin_url,permalink,status,published_at_utc,published_at_et,published_timestamp_ms,created_at_utc,updated_at_utc,article_id,linkedIn_article_urn,entity_urn,initial_update_urn,social_detail_urn,article_type,language,version,featured,author_profile_urns,word_count,character_count,excerpt,embedded_links,cover_image_asset_urn,cover_image_url,cover_image_width,cover_image_height,cover_image_expires_at_utc,cover_image_caption,source_file,source_page_start,source_page_count,reported_total_articles
From Yahoo Pages to Astro: 25 Years of Rebuilding My Personal Website,https://www.linkedin.com/pulse/from-yahoo-pages-astro-25-years-rebuilding-my-website-karuppaiah-21fzc/,from-yahoo-pages-astro-25-years-rebuilding-my-website-karuppaiah-21fzc,PUBLISHED,2026-07-26T02:14:09.000Z,,,,,7486961327715057664,,,,,,,,,,0,,"I created my first personal website in 1999 using Yahoo personal pages. Over the years, I rebuilt it using different technologies: Each version matched what I needed and what I was learning at that time.",,,https://media.licdn.com/dms/image/v2/D5612AQFMBYGYOK9i_w/article-cover_image-shrink_720_1280/B56Z.cK8kCGoAQ-/0/1785031546900?e=2147483647&v=beta&t=iqnnncKcxSwt9G6DmhuAog9ASc4jN0Jpn2sXxVSNnpo,,,,,,,,
Not Enough Benchmarks for AI-Native Delivery,https://www.linkedin.com/pulse/enough-benchmarks-ai-native-delivery-senthilnathan-karuppaiah-4w3dc/,enough-benchmarks-ai-native-delivery-senthilnathan-karuppaiah-4w3dc,PUBLISHED,2026-07-25T02:28:53.000Z,,,,,7486605709783142402,,,,,,,,,,0,,"Over the past few days, I have been exploring a connected problem. AI engineering practices are evolving rapidly, but estimation, pricing, productivity measurement, and value realization are still catching up.",,,https://media.licdn.com/dms/image/v2/D5612AQETzf9iC9-YIA/article-cover_image-shrink_720_1280/B56Z.XEORXGoAQ-/0/1784945895089?e=2147483647&v=beta&t=Cph7PC5sjiVRJ0S62T4aCGfVJRG8scD5g2PxopRDr9g,,,,,,,,
What Pharma Can Teach AI Engineering About Trust,https://www.linkedin.com/pulse/what-pharma-can-teach-ai-engineering-trust-senthilnathan-karuppaiah-9vw6c/,what-pharma-can-teach-ai-engineering-trust-senthilnathan-karuppaiah-9vw6c,PUBLISHED,2026-07-21T21:14:16.000Z,,,,,7485434524181417985,,,,,,,,,,0,,"AI engineering is moving very fast. Every week, we hear about new models, new agent development frameworks, Vector databases, RAG pipelines, MCP servers, Connectors & Tools, evaluation frameworks, and automation platforms.",,,https://media.licdn.com/dms/image/v2/D5612AQH1yrjaMglaDw/article-cover_image-shrink_720_1280/B56Z.GbG9JKMAQ-/0/1784666682323?e=2147483647&v=beta&t=p3tKyVdXsvvgf9z5P-gZb4fWEL59duWNDsCyv_vPWoA,,,,,,,,
Beyond RAG: Building Ontology-Driven Test Intelligence with Knowledge Graphs,https://www.linkedin.com/pulse/beyond-rag-building-ontology-driven-test-intelligence-karuppaiah-fmjxf/,beyond-rag-building-ontology-driven-test-intelligence-karuppaiah-fmjxf,PUBLISHED,2026-07-21T14:44:59.000Z,,,,,7485321314078044160,,,,,,,,,,0,,"Across decades of working on large enterprise products, multiple projects, and top-tier engineering teams, I have rarely seen a complete and dependable solution for two persistent problems: Impact analysis and bidirectional traceability. This is especially difficult for enterprise products that have",,,https://media.licdn.com/dms/image/v2/D4D12AQGsiIF6T_DpkQ/article-cover_image-shrink_720_1280/B4DZ.FHd7sJAAQ-/0/1784644756671?e=2147483647&v=beta&t=f87w2tYXHnoBR1gXxLWBRMKiLFd3zDpK6VLMEzQvH1s,,,,,,,,
"OpenLineage Viewer: Databricks-Style Lineage for Local dbt, in Pure HTML",https://www.linkedin.com/pulse/openlineage-viewer-databricks-style-lineage-local-dbt-karuppaiah-aehxe/,openlineage-viewer-databricks-style-lineage-local-dbt-karuppaiah-aehxe,PUBLISHED,2026-07-20T01:03:17.000Z,,,,,7484764749461692416,,,,,,,,,,0,,This is a sequel to Last week's post on the Claimwise dataset and dbt pipeline. Last week I shared the Claimwise dataset and the dbt pipeline behind it.,,,https://dms.licdn.com/playlist/vid/v2/D4E12AQFIU6_lLded-Q/thumbnail-with-play-button-overlay-low/B4EZ985475H8CM-/0/1784506979002?e=2147483647&v=beta&t=hDLnV6q3km1rpiJQgcNEek1qN3UkA5gFxFZH7OqhTNk,,,,,,,,
"Anatomy of a Bolt — Ceremonies, Evals, Rubrics, and Traces on a Real Feature",https://www.linkedin.com/pulse/anatomy-bolt-ceremonies-evals-rubrics-traces-real-karuppaiah-t8c0e/,anatomy-bolt-ceremonies-evals-rubrics-traces-real-karuppaiah-t8c0e,PUBLISHED,2026-07-18T15:56:52.000Z,,,,,7484261426950303744,,,,,,,,,,0,,"Production-Grade Agents, Built in the Open — Part 3 of 6 One Core, Four Doors Specs, Not Vibes Anatomy of a Bolt (this article) The LLM Never Scores Stop Burning Tokens on Grep AI Did the Typing Part 2 gave you the totals: 11 Bolts, 62 tasks, 135 evals. This part picks one real Bolt — the cover-lett",,,https://media.licdn.com/dms/image/v2/D4E12AQFzsxIgws_PtQ/article-cover_image-shrink_720_1280/B4EZ91wFJuHwAQ-/0/1784386973930?e=2147483647&v=beta&t=Caru4ZG7QI0KNFsaGUqrbKFaAnoyUG2jsTkaDXw-vgc,,,,,,,,
"Introducing Claimwise — End-to-End Data Lakehouse Storytelling with dbt, Databricks/Snowflake, and Unity Catalog, From Raw Data to Dashboard",https://www.linkedin.com/pulse/introducing-claimwise-end-to-end-data-lakehouse-dbt-unity-karuppaiah-mxece/,introducing-claimwise-end-to-end-data-lakehouse-dbt-unity-karuppaiah-mxece,PUBLISHED,2026-07-18T02:45:33.000Z,,,,,7484063636429193217,,,,,,,,,,0,,"Claimwise is a healthcare Revenue Cycle Management (RCM) demo I built — the billing back office of a fictitious hospital network. The hospital is not real, but everything running behind it is real: synthetic patients and claims, all of it sits in one repo, and you can run it on your laptop.",,,https://media.licdn.com/dms/image/v2/D4E12AQF-YfPCUxsidg/article-cover_image-shrink_720_1280/B4EZ9y8ngwHoAU-/0/1784339928475?e=2147483647&v=beta&t=V8w_vhm_XIGLphS8GH3Q64m-Gj2eMaEUd8GzV4mXgDE,,,,,,,,
I Left My Job Hunt Running — Now It's a Public Dataset Anyone Can Query,https://www.linkedin.com/pulse/i-left-my-job-hunt-running-now-its-public-dataset-can-karuppaiah-lq7fe/,i-left-my-job-hunt-running-now-its-public-dataset-can-karuppaiah-lq7fe,PUBLISHED,2026-07-15T02:47:13.000Z,,,,,7482974143156670464,,,,,,,,,,0,,Dashboard: senthilsweb.github.,,,https://media.licdn.com/dms/image/v2/D4E12AQHtmhELjHdooQ/article-cover_image-shrink_720_1280/B4EZ9jdY55JYAQ-/0/1784080084015?e=2147483647&v=beta&t=r1-giYZTFrjziZCY-tvU-R1wYLJowXKlhFiywtEjNuE,,,,,,,,
"Specs, Not Vibes — Building a Production Agent with AI-DLC",https://www.linkedin.com/pulse/specs-vibes-building-production-agent-ai-dlc-senthilnathan-karuppaiah-eeyfe/,specs-vibes-building-production-agent-ai-dlc-senthilnathan-karuppaiah-eeyfe,PUBLISHED,2026-07-14T13:48:57.000Z,,,,,7482783504313810944,,,,,,,,,,0,,"Production-Grade Agents, Built in the Open — Part 2 of 6 One Core, Four Doors Specs, Not Vibes (this article) Anatomy of a Bolt The LLM Never Scores Stop Burning Tokens on Grep AI Did the Typing The agent from Part 1 was built through 62 tasks and 135 evals across 11 Bolts — every one of them writte",,,https://media.licdn.com/dms/image/v2/D4E12AQHBXzvf9qeBsw/article-cover_image-shrink_720_1280/B4EZ9gwQeDKQAU-/0/1784034697408?e=2147483647&v=beta&t=DmMST5TNLk-9fvaPK545oBfBZ7OEddnjk0wkLd_jDbE,,,,,,,,
"Leading Teams, Building Systems: How My Homelab Keeps Me Hands-On",https://www.linkedin.com/pulse/leading-teams-building-systems-how-my-homelab-keeps-me-karuppaiah-wmq2e/,leading-teams-building-systems-how-my-homelab-keeps-me-karuppaiah-wmq2e,PUBLISHED,2026-07-13T04:15:02.000Z,,,,,7482149795688759297,,,,,,,,,,0,,"Today, I am sharing my homelab infrastructure—my small personal data centre where many of my ideas and projects have taken shape. After 26 years in technology, my work naturally spans architecture, engineering leadership, and management, but I have never wanted to move away from hands-on engineering",,,https://media.licdn.com/dms/image/v2/D4E12AQG8nI3ala3lbw/article-cover_image-shrink_720_1280/B4EZ9Xy5uKJkAQ-/0/1783884394995?e=2147483647&v=beta&t=7lvPYc_Yqj42naNBgm_ycmbnoohoYif3U_TANVusqFg,,,,,,,,
